iter	Passed	Remaining
945	52016	11602
946	52070	11546
947	52132	11493
948	52185	11437
949	52241	11383
950	52296	11328
951	52346	11272
952	52409	11218
953	52467	11164
954	52530	11111
955	52596	11058
956	52661	11005
957	52735	10954
958	52813	10904
959	52873	10850
960	52929	10795
961	52975	10738
962	53036	10684
963	53105	10632
964	53166	10578
965	53229	10524
966	53295	10471
967	53355	10417
968	53411	10362
969	53459	10306
970	53507	10249
971	53568	10195
972	53617	10139
973	53681	10085
974	53726	10029
975	53783	9974
976	53836	9918
977	53898	9864
978	53949	9809
979	54009	9754
980	54054	9697
981	54113	9643
982	54171	9588
983	54229	9534
984	54279	9478
985	54323	9421
986	54376	9365
987	54430	9310
988	54474	9253
989	54533	9199
990	54587	9143
991	54632	9087
992	54726	9038
993	54804	8987
994	54856	8931
995	54917	8877
996	54966	8821
997	55014	8764
998	55077	8710
999	55118	8653
1000	55165	8597
1001	55217	8541
1002	55279	8487
1003	55332	8432
1004	55389	8377
1005	55435	8320
1006	55493	8266
1007	55564	8213
1008	55624	8158
1009	55671	8102
1010	55726	8047
1011	55771	7990
1012	55820	7935
1013	55880	7880
1014	55936	7825
1015	55993	7770
1016	56039	7714
1017	56091	7658
1018	56142	7603
1019	56196	7547
1020	56249	7492
1021	56302	7437
1022	56350	7381
1023	56396	7324
1024	56451	7269
1025	56498	7213
1026	56546	7157
1027	56598	7102
1028	56647	7046
1029	56697	6990
1030	56750	6935
1031	56808	6880
1032	56872	6826
1033	56927	6771
1034	56968	6715
1035	57025	6660
1036	57067	6603
1037	57129	6549
1038	57173	6493
1039	57221	6437
1040	57267	6381
1041	57302	6324
1042	57359	6269
1043	57406	6213
1044	57461	6158
1045	57505	6102
1046	57557	6047
1047	57599	5990
1048	57650	5935
1049	57692	5879
1050	57747	5824
1051	57802	5769
1052	57845	5713
1053	57902	5658
1054	57943	5602
1055	57996	5547
1056	58050	5492
1057	58091	5435
1058	58147	5380
1059	58191	5325
1060	58247	5270
1061	58297	5214
1062	58348	5159
1063	58400	5104
1064	58443	5048
1065	58486	4992
1066	58543	4938
1067	58599	4883
1068	58653	4828
1069	58701	4772
1070	58759	4718
1071	58805	4662
1072	58858	4607
1073	58919	4553
1074	58985	4499
1075	59044	4444
1076	59093	4389
1077	59155	4335
1078	59213	4280
1079	59268	4225
1080	59313	4170
1081	59363	4114
1082	59415	4059
1083	59471	4004
1084	59520	3949
1085	59569	3894
1086	59625	3839
1087	59683	3785
1088	59759	3731
1089	59829	3677
1090	59887	3622
1091	59930	3567
1092	59986	3512
1093	60028	3456
1094	60070	3401
1095	60123	3346
1096	60167	3290
1097	60226	3236
1098	60273	3180
1099	60317	3125
1100	60371	3070
1101	60432	3016
1102	60476	2960
1103	60528	2905
1104	60573	2850
1105	60627	2795
1106	60669	2740
1107	60711	2684
1108	60766	2630
1109	60816	2575
1110	60873	2520
1111	60922	2465
1112	60973	2410
1113	61014	2355
1114	61061	2300
1115	61103	2244
1116	61152	2189
1117	61202	2134
1118	61253	2080
1119	61300	2025
1120	61353	1970
1121	61394	1915
1122	61434	1860
1123	61475	1804
1124	61516	1749
1125	61565	1694
1126	61612	1640
1127	61666	1585
1128	61706	1530
1129	61759	1475
1130	61814	1421
1131	61872	1366
1132	61926	1311
1133	61973	1256
1134	62014	1202
1135	62056	1147
1136	62106	1092
1137	62149	1037
1138	62203	983
1139	62250	928
1140	62304	873
1141	62352	818
1142	62397	764
1143	62448	709
1144	62495	654
1145	62552	600
1146	62605	545
1147	62648	491
1148	62692	436
1149	62741	381
1150	62796	327
1151	62843	272
1152	62895	218
1153	62946	163
1154	62992	109
1155	63041	54
1156	63091	0
