iter	Passed	Remaining
621	21995	13367
622	22026	13328
623	22061	13293
624	22095	13257
625	22124	13217
626	22153	13178
627	22186	13142
628	22214	13102
629	22246	13065
630	22280	13029
631	22316	12994
632	22350	12958
633	22382	12921
634	22415	12884
635	22447	12847
636	22482	12812
637	22515	12775
638	22547	12738
639	22579	12700
640	22613	12664
641	22649	12629
642	22684	12594
643	22718	12558
644	22753	12523
645	22786	12486
646	22818	12449
647	22846	12410
648	22879	12373
649	22912	12337
650	22945	12300
651	22980	12265
652	23014	12229
653	23047	12193
654	23078	12155
655	23107	12117
656	23141	12081
657	23175	12045
658	23208	12009
659	23241	11972
660	23273	11935
661	23306	11899
662	23341	11864
663	23375	11828
664	23424	11800
665	23465	11768
666	23530	11747
667	23580	11719
668	23616	11684
669	23657	11651
670	23701	11621
671	23741	11588
672	23776	11552
673	23807	11515
674	23839	11478
675	23872	11441
676	23906	11405
677	23942	11370
678	23975	11334
679	24011	11299
680	24043	11262
681	24076	11226
682	24112	11191
683	24142	11153
684	24176	11117
685	24209	11081
686	24243	11045
687	24278	11009
688	24313	10974
689	24348	10939
690	24382	10903
691	24416	10867
692	24449	10831
693	24480	10794
694	24515	10758
695	24547	10722
696	24580	10685
697	24615	10650
698	24650	10614
699	24686	10579
700	24721	10544
701	24759	10510
702	24790	10473
703	24823	10437
704	24855	10400
705	24895	10367
706	24931	10332
707	24962	10295
708	24997	10260
709	25032	10224
710	25062	10187
711	25096	10151
712	25128	10114
713	25165	10080
714	25200	10044
715	25234	10009
716	25269	9973
717	25299	9936
718	25337	9902
719	25372	9867
720	25411	9833
721	25446	9797
722	25478	9761
723	25515	9726
724	25548	9690
725	25582	9655
726	25624	9622
727	25655	9585
728	25688	9549
729	25727	9515
730	25772	9483
731	25804	9447
732	25831	9409
733	25867	9374
734	25900	9338
735	25935	9303
736	25984	9272
737	26021	9238
738	26056	9202
739	26090	9166
740	26124	9131
741	26156	9094
742	26192	9059
743	26234	9027
744	26281	8995
745	26318	8960
746	26352	8925
747	26386	8889
748	26418	8853
749	26452	8817
750	26482	8780
751	26518	8745
752	26558	8711
753	26589	8675
754	26632	8642
755	26669	8607
756	26706	8572
757	26747	8539
758	26779	8503
759	26812	8467
760	26848	8431
761	26882	8396
762	26913	8359
763	26948	8324
764	26982	8288
765	27015	8252
766	27045	8215
767	27078	8180
768	27113	8144
769	27150	8109
770	27178	8072
771	27213	8037
772	27248	8001
773	27285	7967
774	27320	7931
775	27347	7894
776	27381	7858
777	27423	7825
778	27460	7790
779	27491	7753
780	27521	7717
781	27555	7681
782	27589	7646
783	27625	7610
784	27657	7574
785	27690	7539
786	27723	7503
787	27771	7471
788	27803	7435
789	27839	7400
790	27874	7365
791	27906	7329
792	27940	7293
793	27975	7258
794	28010	7222
795	28040	7186
796	28079	7152
797	28113	7116
798	28143	7079
799	28178	7044
800	28210	7008
801	28239	6971
802	28267	6934
803	28300	6899
804	28332	6863
805	28364	6827
806	28396	6791
807	28429	6755
808	28462	6719
809	28508	6687
810	28559	6655
811	28603	6622
812	28641	6587
813	28676	6552
814	28709	6516
815	28741	6480
816	28772	6444
817	28807	6409
818	28843	6374
819	28878	6339
820	28914	6304
821	28948	6268
822	28989	6234
823	29022	6198
824	29056	6163
825	29090	6128
826	29124	6092
827	29157	6056
828	29188	6020
829	29222	5985
830	29256	5949
831	29289	5914
832	29323	5878
833	29359	5843
834	29390	5807
835	29420	5771
836	29457	5736
837	29493	5701
838	29539	5668
839	29572	5632
840	29611	5598
841	29641	5562
842	29670	5525
843	29704	5490
844	29749	5456
845	29795	5423
846	29844	5391
847	29880	5355
848	29915	5320
849	29945	5284
850	29977	5248
851	30009	5212
852	30042	5177
853	30074	5141
854	30112	5106
855	30148	5071
856	30183	5036
857	30220	5001
858	30255	4966
859	30290	4930
860	30323	4895
861	30357	4860
862	30390	4824
863	30422	4788
864	30453	4752
865	30487	4717
866	30520	4681
867	30555	4646
868	30589	4611
869	30619	4575
870	30652	4539
871	30688	4504
872	30722	4469
873	30755	4433
874	30792	4398
875	30826	4363
876	30861	4328
877	30896	4293
878	30931	4257
879	30962	4222
880	30997	4186
881	31033	4151
882	31066	4116
883	31101	4081
884	31135	4045
885	31167	4010
886	31202	3975
887	31242	3940
888	31278	3905
889	31311	3869
890	31346	3834
891	31380	3799
892	31420	3764
893	31451	3729
894	31484	3693
895	31518	3658
896	31546	3622
897	31580	3587
898	31616	3552
899	31654	3517
900	31687	3481
901	31738	3448
902	31779	3413
903	31813	3378
904	31852	3343
905	31897	3309
906	31933	3274
907	31964	3238
908	32000	3203
909	32037	3168
910	32073	3133
911	32107	3098
912	32142	3062
913	32180	3027
914	32211	2992
915	32247	2957
916	32281	2921
917	32314	2886
918	32351	2851
919	32388	2816
920	32422	2781
921	32458	2745
922	32493	2710
923	32525	2675
924	32558	2639
925	32592	2604
926	32622	2569
927	32653	2533
928	32684	2497
929	32725	2463
930	32766	2428
931	32804	2393
932	32842	2358
933	32875	2323
934	32907	2287
935	32942	2252
936	32973	2216
937	33009	2181
938	33043	2146
939	33077	2111
940	33109	2075
941	33139	2040
942	33173	2005
943	33206	1969
944	33240	1934
945	33274	1899
946	33310	1864
947	33346	1829
948	33379	1793
949	33413	1758
950	33441	1723
951	33474	1687
952	33507	1652
953	33540	1617
954	33583	1582
955	33663	1549
956	33701	1514
957	33739	1479
958	33775	1444
959	33811	1408
960	33849	1373
961	33885	1338
962	33923	1303
963	33958	1268
964	33996	1233
965	34032	1197
966	34066	1162
967	34101	1127
968	34133	1091
969	34165	1056
970	34203	1021
971	34235	986
972	34274	951
973	34306	915
974	34343	880
975	34379	845
976	34413	810
977	34448	774
978	34485	739
979	34520	704
980	34555	669
981	34593	634
982	34629	598
983	34669	563
984	34720	528
985	34756	493
986	34807	458
987	34860	423
988	34897	388
989	34931	352
990	34972	317
991	35008	282
992	35051	247
993	35092	211
994	35128	176
995	35169	141
996	35205	105
997	35246	70
998	35287	35
999	35326	0
