iter	Passed	Remaining
639	35080	19732
640	35135	19677
641	35192	19624
642	35247	19569
643	35310	19519
644	35352	19457
645	35403	19400
646	35458	19345
647	35499	19283
648	35553	19228
649	35594	19166
650	35643	19108
651	35699	19054
652	35754	18999
653	35812	18946
654	35866	18891
655	35902	18826
656	35954	18770
657	36005	18714
658	36048	18653
659	36087	18590
660	36144	18536
661	36200	18482
662	36245	18423
663	36291	18364
664	36341	18307
665	36383	18246
666	36435	18190
667	36475	18128
668	36525	18071
669	36580	18017
670	36623	17957
671	36674	17900
672	36735	17848
673	36790	17794
674	36837	17736
675	36878	17675
676	36919	17614
677	36956	17551
678	37011	17497
679	37060	17440
680	37108	17382
681	37157	17325
682	37197	17264
683	37243	17206
684	37294	17150
685	37359	17100
686	37416	17047
687	37467	16991
688	37516	16934
689	37558	16874
690	37619	16822
691	37668	16765
692	37713	16707
693	37754	16646
694	37805	16590
695	37855	16534
696	37910	16480
697	37969	16427
698	38022	16372
699	38074	16317
700	38127	16262
701	38216	16223
702	38269	16167
703	38313	16109
704	38360	16051
705	38410	15995
706	38462	15939
707	38516	15885
708	38565	15828
709	38611	15770
710	38657	15712
711	38710	15658
712	38756	15600
713	38840	15558
714	38893	15503
715	38945	15447
716	39000	15393
717	39049	15337
718	39097	15280
719	39143	15222
720	39186	15163
721	39224	15102
722	39274	15047
723	39327	14992
724	39383	14938
725	39426	14880
726	39456	14816
727	39513	14763
728	39579	14713
729	39617	14653
730	39666	14596
731	39726	14544
732	39775	14488
733	39832	14435
734	39880	14378
735	39922	14319
736	39967	14262
737	40021	14208
738	40068	14151
739	40108	14092
740	40149	14033
741	40197	13976
742	40252	13923
743	40306	13868
744	40361	13814
745	40418	13761
746	40481	13710
747	40538	13657
748	40587	13601
749	40654	13551
750	40767	13516
751	40829	13464
752	40881	13410
753	40925	13352
754	40977	13297
755	41054	13250
756	41110	13196
757	41160	13140
758	41210	13085
759	41258	13029
760	41315	12975
761	41372	12922
762	41432	12869
763	41483	12814
764	41544	12761
765	41603	12709
766	41665	12657
767	41715	12601
768	41773	12548
769	41826	12493
770	41876	12437
771	41914	12378
772	41953	12320
773	42006	12265
774	42067	12213
775	42225	12188
776	42278	12133
777	42343	12082
778	42417	12033
779	42473	11979
780	42531	11926
781	42580	11870
782	42632	11814
783	42676	11757
784	42729	11702
785	42794	11651
786	42850	11597
787	42907	11543
788	42956	11487
789	43024	11436
790	43152	11401
791	43217	11350
792	43310	11305
793	43389	11257
794	43443	11202
795	43488	11145
796	43534	11088
797	43592	11034
798	43642	10979
799	43689	10922
800	43738	10866
801	43787	10810
802	43845	10756
803	43896	10701
804	43943	10644
805	43987	10587
806	44045	10533
807	44105	10480
808	44144	10422
809	44200	10367
810	44247	10311
811	44306	10258
812	44373	10206
813	44426	10151
814	44486	10098
815	44537	10042
816	44613	9992
817	44670	9938
818	44756	9891
819	44811	9836
820	44870	9782
821	44913	9725
822	44982	9674
823	45249	9664
824	45347	9619
825	45415	9566
826	45480	9514
827	45529	9457
828	45575	9401
829	45617	9343
830	45674	9288
831	45740	9235
832	45792	9180
833	45855	9127
834	45897	9069
835	45978	9019
836	46057	8969
837	46110	8914
838	46156	8857
839	46219	8803
840	46274	8748
841	46319	8691
842	46369	8635
843	46446	8584
844	46505	8530
845	46574	8478
846	46618	8421
847	46671	8365
848	46729	8311
849	46781	8255
850	46839	8201
851	46900	8147
852	46948	8090
853	47044	8042
854	47111	7989
855	47168	7934
856	47236	7881
857	47301	7828
858	47359	7773
859	47425	7720
860	47508	7669
861	47564	7614
862	47637	7562
863	47706	7509
864	47775	7456
865	47849	7403
866	47918	7350
867	47987	7297
868	48050	7243
869	48098	7187
870	48167	7133
871	48249	7082
872	48337	7031
873	48422	6980
874	48529	6932
875	48781	6905
876	48846	6850
877	48929	6798
878	49019	6747
879	49108	6696
880	49192	6644
881	49281	6593
882	49338	6537
883	49400	6482
884	49455	6426
885	49548	6375
886	49600	6318
887	49655	6262
888	49724	6208
889	49806	6155
890	49861	6099
891	49919	6044
892	49965	5986
893	50022	5931
894	50091	5876
895	50152	5821
896	50213	5765
897	50260	5708
898	50307	5651
899	50357	5595
900	50415	5539
901	50458	5482
902	50570	5432
903	50629	5376
904	50687	5320
905	50742	5264
906	50796	5208
907	50854	5152
908	50919	5097
909	50961	5040
910	51020	4984
911	51077	4928
912	51126	4871
913	51174	4815
914	51224	4758
915	51278	4702
916	51316	4644
917	51369	4588
918	51418	4531
919	51474	4476
920	51531	4420
921	51575	4363
922	51632	4307
923	51678	4250
924	51723	4193
925	51774	4137
926	51832	4081
927	51864	4023
928	51905	3966
929	51962	3911
930	52010	3854
931	52069	3799
932	52127	3743
933	52189	3687
934	52234	3631
935	52275	3574
936	52320	3517
937	52390	3462
938	52445	3407
939	52501	3351
940	52582	3296
941	52635	3240
942	52681	3184
943	52735	3128
944	52795	3072
945	52853	3017
946	52897	2960
947	52956	2904
948	53007	2848
949	53066	2792
950	53121	2737
951	53168	2680
952	53224	2624
953	53289	2569
954	53338	2513
955	53396	2457
956	53442	2401
957	53490	2345
958	53529	2288
959	53587	2232
960	53647	2177
961	53699	2121
962	53790	2066
963	53909	2013
964	54009	1958
965	54060	1902
966	54130	1847
967	54211	1792
968	54281	1736
969	54346	1680
970	54391	1624
971	54446	1568
972	54504	1512
973	54561	1456
974	54618	1400
975	54662	1344
976	54706	1287
977	54764	1231
978	54806	1175
979	54860	1119
980	54905	1063
981	54961	1007
982	54999	951
983	55049	895
984	55105	839
985	55153	783
986	55193	726
987	55239	670
988	55296	615
989	55344	559
990	55389	503
991	55426	446
992	55482	391
993	55542	335
994	55589	279
995	55648	223
996	55700	167
997	55760	111
998	55811	55
999	55866	0
